name,position,team,kickoff_time,opponent_team,value,was_home
Jorge Cuenca Barreno,DEF,Fulham,2024-09-14,19,44,TRUE
Josh King,MID,Fulham,2024-09-14,19,45,TRUE
Martial Godo,MID,Fulham,2024-09-14,19,45,TRUE
Sander Berge,MID,Fulham,2024-09-14,19,50,TRUE
Alisson Ramses Becker,GK,Liverpool,2024-09-14,16,55,TRUE
Trent Alexander-Arnold,DEF,Liverpool,2024-09-14,16,70,TRUE
Stefan Bajčetić Maquieira,MID,Liverpool,2024-09-14,16,45,TRUE
Conor Bradley,DEF,Liverpool,2024-09-14,16,49,TRUE
Bobby Clark,MID,Liverpool,2024-09-14,16,45,TRUE
Darwin Núñez Ribeiro,FWD,Liverpool,2024-09-14,16,73,TRUE
Diogo Teixeira da Silva,MID,Liverpool,2024-09-14,16,76,TRUE
Ben Doak,MID,Liverpool,2024-09-14,16,45,TRUE
Harvey Elliott,MID,Liverpool,2024-09-14,16,53,TRUE
Endo Wataru,MID,Liverpool,2024-09-14,16,49,TRUE
Cody Gakpo,FWD,Liverpool,2024-09-14,16,73,TRUE
Joe Gomez,DEF,Liverpool,2024-09-14,16,49,TRUE
Ryan Gravenberch,MID,Liverpool,2024-09-14,16,50,TRUE
Curtis Jones,MID,Liverpool,2024-09-14,16,54,TRUE
Caoimhin Kelleher,GK,Liverpool,2024-09-14,16,44,TRUE
Ibrahima Konaté,DEF,Liverpool,2024-09-14,16,50,TRUE
Luis Díaz,MID,Liverpool,2024-09-14,16,76,TRUE
Mohamed Salah,MID,Liverpool,2024-09-14,16,127,TRUE
Alexis Mac Allister,MID,Liverpool,2024-09-14,16,64,TRUE
James McConnell,MID,Liverpool,2024-09-14,16,45,TRUE
Tyler Morton,MID,Liverpool,2024-09-14,16,45,TRUE
Nathaniel Phillips,DEF,Liverpool,2024-09-14,16,40,TRUE
Jarell Quansah,DEF,Liverpool,2024-09-14,16,43,TRUE
Rhys Williams,DEF,Liverpool,2024-09-14,16,40,TRUE
Andrew Robertson,DEF,Liverpool,2024-09-14,16,60,TRUE
Dominik Szoboszlai,MID,Liverpool,2024-09-14,16,65,TRUE
Konstantinos Tsimikas,DEF,Liverpool,2024-09-14,16,48,TRUE
Virgil van Dijk,DEF,Liverpool,2024-09-14,16,60,TRUE
Federico Chiesa,MID,Liverpool,2024-09-14,16,70,TRUE
Manuel Akanji,DEF,Man City,2024-09-14,4,55,TRUE
Nathan Aké,DEF,Man City,2024-09-14,4,54,TRUE
Bernardo Veiga de Carvalho e Silva,MID,Man City,2024-09-14,4,66,TRUE
Oscar Bobb,MID,Man City,2024-09-14,4,48,TRUE
Scott Carson,GK,Man City,2024-09-14,4,40,TRUE
Kevin De Bruyne,MID,Man City,2024-09-14,4,96,TRUE
Jérémy Doku,MID,Man City,2024-09-14,4,65,TRUE
Ederson Santana de Moraes,GK,Man City,2024-09-14,4,55,TRUE
Phil Foden,MID,Man City,2024-09-14,4,94,TRUE
Jack Grealish,MID,Man City,2024-09-14,4,64,TRUE
Joško Gvardiol,DEF,Man City,2024-09-14,4,60,TRUE
Erling Haaland,FWD,Man City,2024-09-14,4,152,TRUE
Julián Álvarez,FWD,Man City,2024-09-14,4,70,TRUE
João Cavaco Cancelo,DEF,Man City,2024-09-14,4,53,TRUE
Mateo Kovačić,MID,Man City,2024-09-14,4,55,TRUE
Rico Lewis,DEF,Man City,2024-09-14,4,47,TRUE
Matheus Luiz Nunes,MID,Man City,2024-09-14,4,49,TRUE
James McAtee,MID,Man City,2024-09-14,4,49,TRUE
Stefan Ortega Moreno,GK,Man City,2024-09-14,4,54,TRUE
Rodrigo 'Rodri' Hernandez,MID,Man City,2024-09-14,4,64,TRUE
Rúben Gato Alves Dias,DEF,Man City,2024-09-14,4,55,TRUE
John Stones,DEF,Man City,2024-09-14,4,54,TRUE
Kyle Walker,DEF,Man City,2024-09-14,4,54,TRUE
Sávio 'Savinho' Moreira de Oliveira,MID,Man City,2024-09-14,4,65,TRUE
Nico O'Reilly,MID,Man City,2024-09-14,4,50,TRUE
Ilkay Gündogan,MID,Man City,2024-09-14,4,65,TRUE
Issa Kaboré,DEF,Man City,2024-09-14,4,45,TRUE
Aaron Ramsdale,GK,Southampton,2024-09-14,14,44,TRUE
Cameron Archer,FWD,Southampton,2024-09-14,14,50,TRUE
Lesley Ugochukwu,MID,Southampton,2024-09-14,14,45,TRUE
Ryan Fraser,MID,Southampton,2024-09-14,14,49,TRUE
Carlos Alcaraz Durán,MID,Southampton,2024-09-14,14,49,TRUE
Samuel Amo-Ameyaw,MID,Southampton,2024-09-14,14,45,TRUE
Joe Aribo,MID,Southampton,2024-09-14,14,50,TRUE
Adam Armstrong,FWD,Southampton,2024-09-14,14,55,TRUE
Gavin Bazunu,GK,Southampton,2024-09-14,14,44,TRUE
Jan Bednarek,DEF,Southampton,2024-09-14,14,40,TRUE
Armel Bella-Kotchap,DEF,Southampton,2024-09-14,14,40,TRUE
James Bree,DEF,Southampton,2024-09-14,14,40,TRUE
Shea Charles,MID,Southampton,2024-09-14,14,45,TRUE
Samuel Edozie,MID,Southampton,2024-09-14,14,49,TRUE
Ronnie Edwards,DEF,Southampton,2024-09-14,14,40,TRUE
Taylor Harwood-Bellis,DEF,Southampton,2024-09-14,14,40,TRUE
Kamaldeen Sulemana,MID,Southampton,2024-09-14,14,50,TRUE
Adam Lallana,MID,Southampton,2024-09-14,14,50,TRUE
Juan Larios López,DEF,Southampton,2024-09-14,14,40,TRUE
Mateusz Lis,GK,Southampton,2024-09-14,14,40,TRUE
Joe Lumley,GK,Southampton,2024-09-14,14,40,TRUE
Ryan Manning,DEF,Southampton,2024-09-14,14,44,TRUE
Sékou Mara,FWD,Southampton,2024-09-14,14,50,TRUE
Alex McCarthy,GK,Southampton,2024-09-14,14,45,TRUE
Paul Onuachu,FWD,Southampton,2024-09-14,14,50,TRUE
Will Smallbone,MID,Southampton,2024-09-14,14,50,TRUE
Jack Stephens,DEF,Southampton,2024-09-14,14,40,TRUE
Ross Stewart,FWD,Southampton,2024-09-14,14,45,TRUE
Sugawara Yukinari,DEF,Southampton,2024-09-14,14,45,TRUE
Charlie Taylor,DEF,Southampton,2024-09-14,14,40,TRUE
Kyle Walker-Peters,DEF,Southampton,2024-09-14,14,45,TRUE
Nathan Wood-Gordon,DEF,Southampton,2024-09-14,14,40,TRUE
Maxwel Cornet,MID,Southampton,2024-09-14,14,49,TRUE
Flynn Downes,MID,Southampton,2024-09-14,14,50,TRUE
Ben Brereton Díaz,MID,Southampton,2024-09-14,14,54,TRUE
Tyler Dibling,MID,Southampton,2024-09-14,14,45,TRUE
Mateus Gonçalo Espanha Fernandes,MID,Southampton,2024-09-14,14,50,TRUE
Dominic Solanke-Mitchell,FWD,Spurs,2024-09-15,1,75,TRUE
Ashley Phillips,DEF,Spurs,2024-09-15,1,40,TRUE
Brandon Austin,GK,Spurs,2024-09-15,1,40,TRUE
Rodrigo Bentancur,MID,Spurs,2024-09-15,1,50,TRUE
Lucas Bergvall,MID,Spurs,2024-09-15,1,45,TRUE
Yves Bissouma,MID,Spurs,2024-09-15,1,50,TRUE
Bryan Gil Salvatierra,MID,Spurs,2024-09-15,1,50,TRUE
Ben Davies,DEF,Spurs,2024-09-15,1,44,TRUE
Alfie Devine,MID,Spurs,2024-09-15,1,45,TRUE
Radu Drăgușin,DEF,Spurs,2024-09-15,1,44,TRUE
Emerson Leite de Souza Junior,DEF,Spurs,2024-09-15,1,45,TRUE
Fraser Forster,GK,Spurs,2024-09-15,1,45,TRUE
Archie Gray,MID,Spurs,2024-09-15,1,49,TRUE
Pierre-Emile Højbjerg,MID,Spurs,2024-09-15,1,50,TRUE
Brennan Johnson,MID,Spurs,2024-09-15,1,64,TRUE
Dejan Kulusevski,MID,Spurs,2024-09-15,1,64,TRUE
Giovani Lo Celso,MID,Spurs,2024-09-15,1,49,TRUE
James Maddison,MID,Spurs,2024-09-15,1,75,TRUE
Pedro Porro,DEF,Spurs,2024-09-15,1,55,TRUE
Sergio Reguilón,DEF,Spurs,2024-09-15,1,44,TRUE
Richarlison de Andrade,FWD,Spurs,2024-09-15,1,69,TRUE
Cristian Romero,DEF,Spurs,2024-09-15,1,51,TRUE
Pape Matar Sarr,MID,Spurs,2024-09-15,1,49,TRUE
Dane Scarlett,FWD,Spurs,2024-09-15,1,45,TRUE
Manor Solomon,MID,Spurs,2024-09-15,1,54,TRUE
Son Heung-min,MID,Spurs,2024-09-15,1,100,TRUE
Djed Spence,DEF,Spurs,2024-09-15,1,44,TRUE
Destiny Udogie,DEF,Spurs,2024-09-15,1,50,TRUE
Micky van de Ven,DEF,Spurs,2024-09-15,1,45,TRUE
Alejo Véliz,FWD,Spurs,2024-09-15,1,50,TRUE
Guglielmo Vicario,GK,Spurs,2024-09-15,1,50,TRUE
Timo Werner,MID,Spurs,2024-09-15,1,64,TRUE
Alfie Whiteman,GK,Spurs,2024-09-15,1,40,TRUE
Will Lankshear,FWD,Spurs,2024-09-15,1,45,TRUE
Mikey Moore,MID,Spurs,2024-09-15,1,45,TRUE
Wilson Odobert,MID,Spurs,2024-09-15,1,55,TRUE
Sam Johnstone,GK,Wolves,2024-09-15,15,44,TRUE
Rayan Aït-Nouri,DEF,Wolves,2024-09-15,15,45,TRUE
Boubacar Traoré,MID,Wolves,2024-09-15,15,49,TRUE
Jean-Ricner Bellegarde,MID,Wolves,2024-09-15,15,50,TRUE
Daniel Bentley,GK,Wolves,2024-09-15,15,40,TRUE
Francisco Jorge Tomás Oliveira,MID,Wolves,2024-09-15,15,45,TRUE
Tawanda Chirewa,MID,Wolves,2024-09-15,15,45,TRUE
Leon Chiwome,FWD,Wolves,2024-09-15,15,45,TRUE
Luke Cundle,MID,Wolves,2024-09-15,15,45,TRUE
Matheus Santos Carneiro Da Cunha,FWD,Wolves,2024-09-15,15,65,TRUE
Craig Dawson,DEF,Wolves,2024-09-15,15,45,TRUE
Matt Doherty,DEF,Wolves,2024-09-15,15,45,TRUE
Tommy Doyle,MID,Wolves,2024-09-15,15,49,TRUE
Fábio Silva,FWD,Wolves,2024-09-15,15,50,TRUE
Nathan Fraser,FWD,Wolves,2024-09-15,15,45,TRUE
Enso González,MID,Wolves,2024-09-15,15,45,TRUE
Gonçalo Manuel Ganchinho Guedes,MID,Wolves,2024-09-15,15,54,TRUE
Hugo Bueno López,DEF,Wolves,2024-09-15,15,45,TRUE
Hwang Hee-chan,MID,Wolves,2024-09-15,15,64,TRUE
Joe Hodge,MID,Wolves,2024-09-15,15,45,TRUE
Ki-Jana Hoever,DEF,Wolves,2024-09-15,15,40,TRUE
João Victor Gomes da Silva,MID,Wolves,2024-09-15,15,49,TRUE
José Malheiro de Sá,GK,Wolves,2024-09-15,15,45,TRUE
Saša Kalajdžić,FWD,Wolves,2024-09-15,15,49,TRUE
