name,name_copy
pontus jansson,pontus jansson
przemyslaw placheta,przemyslaw placheta
radu dragusin,radu dragusin
raheem sterling,raheem sterling
raphael dias belloli,NA
raphael varane,raphael varane
raphinha,raphinha
rasmus hojlund,rasmus hojlund
rasmus kristensen,rasmus kristensen
raul jimenez,raul jimenez
rayan ait nouri,rayan ait nouri
reda khadra,reda khadra
reece burke,reece burke
reece james,reece james
reiss nelson,reiss nelson
rekeem harper,rekeem harper
remi matthews,remi matthews
remo freuler,remo freuler
renan augusto lodi dos santos,NA
renan lodi,renan lodi
rhian brewster,rhian brewster
rhys norrington davies,rhys norrington davies
rhys williams,rhys williams
ricardo barbosa pereira,NA
ricardo domingos barbosa pereira,NA
ricardo pereira,ricardo pereira
richarlison,richarlison
richarlison de andrade,NA
rico henry,rico henry
rico lewis,rico lewis
riyad mahrez,riyad mahrez
rob holding,rob holding
robbie brady,robbie brady
robert kenedy nunes do nascimento,NA
robert sanchez,robert sanchez
robert snodgrass,robert snodgrass
roberto firmino,roberto firmino
robin koch,robin koch
robin olsen,robin olsen
rodri,rodri
rodrigo,rodrigo
rodrigo bentancur,rodrigo bentancur
rodrigo duarte ribeiro,NA
rodrigo hernandez,NA
rodrigo moreno,NA
rodrigo muniz,rodrigo muniz
rodrigo muniz carvalho,NA
rodrigo ribeiro,rodrigo ribeiro
romain faivre,romain faivre
romain perraud,romain perraud
romain saiss,romain saiss
romaine sawyers,romaine sawyers
romelu lukaku,romelu lukaku
romeo lavia,romeo lavia
ross barkley,ross barkley
ruben da silva neves,NA
ruben dias,ruben dias
ruben diogo da silva neves,NA
ruben gato alves dias,NA
ruben loftus cheek,ruben loftus cheek
ruben nascimento vinagre,NA
ruben neves,ruben neves
ruben santos gato alves dias,NA
ruben vinagre,ruben vinagre
rui patricio,rui patricio
runar alex runarsson,runar alex runarsson
ryan bertrand,ryan bertrand
ryan christie,ryan christie
ryan fraser,ryan fraser
ryan fredericks,ryan fredericks
ryan giles,NA
ryan gravenberch,ryan gravenberch
ryan john giles,ryan john giles
ryan one,ryan one
ryan sessegnon,ryan sessegnon
ryan yates,ryan yates
sadio mane,sadio mane
said benrahma,said benrahma
salomon rondon,salomon rondon
sam byram,sam byram
sam curtis,NA
sam field,sam field
sam greenwood,sam greenwood
sam johnstone,sam johnstone
sam surridge,sam surridge
saman ghoddos,saman ghoddos
samir,samir
samir caetano de souza santos,NA
samuel amo ameyaw,samuel amo ameyaw
samuel edozie,samuel edozie
samuel kalu,samuel kalu
sander berge,sander berge
sandro tonali,sandro tonali
santiago bueno,santiago bueno
sasa kalajdzic,sasa kalajdzic
sasa lukic,sasa lukic
saul niguez,saul niguez
scott carson,scott carson
scott dann,scott dann
scott mckenna,scott mckenna
scott mctominay,scott mctominay
sead kolasinac,sead kolasinac
seamus coleman,seamus coleman
sean longstaff,sean longstaff
sebastien haller,sebastien haller
sekou mara,sekou mara
semi ajayi,semi ajayi
serge aurier,serge aurier
sergi canos,sergi canos
sergi canos tenes,NA
sergio aguero,sergio aguero
sergio gomez,sergio gomez
sergio reguilon,sergio reguilon
shandon baptiste,shandon baptiste
shane duffy,shane duffy
shane long,shane long
shea charles,shea charles
shkodran mustafi,shkodran mustafi
shola shoretire,shola shoretire
sidnei tavares,sidnei tavares
simon adingra,simon adingra
siriki dembele,siriki dembele
sofyan amrabat,sofyan amrabat
solly march,solly march
solomon march,NA
son heung min,son heung min
sonny perkins,sonny perkins
stefan bajcetic,stefan bajcetic
stefan ortega moreno,stefan ortega moreno
steve cook,steve cook
steven alzate,steven alzate
steven bergwijn,steven bergwijn
stuart armstrong,stuart armstrong
stuart dallas,stuart dallas
stuart mckinstry,stuart mckinstry
sven botman,sven botman
sydie peck,sydie peck
tahith chong,tahith chong
taiwo awoniyi,taiwo awoniyi
takehiro tomiyasu,takehiro tomiyasu
takumi minamino,takumi minamino
tammy abraham,tammy abraham
tanguy ndombele,tanguy ndombele
tariq lamptey,tariq lamptey
tariqe fosu henry,tariqe fosu henry
tawanda chirewa,tawanda chirewa
taylor richards,taylor richards
teden mengi,teden mengi
teemu pukki,teemu pukki
terence kongolo,terence kongolo
tete,tete
thakgalo leshabela,thakgalo leshabela
theo corbeanu,theo corbeanu
theo walcott,theo walcott
thiago alcantara,thiago alcantara
thiago alcantara do nascimento,NA
thiago emiliano da silva,NA
thiago silva,thiago silva
thilo kehrer,thilo kehrer
thomas cannon,thomas cannon
thomas kaminski,thomas kaminski
thomas partey,thomas partey
thomas strakosha,thomas strakosha
tim iroegbunam,tim iroegbunam
tim krul,tim krul
tim ream,tim ream
timo werner,timo werner
timothy castagne,timothy castagne
timothy fosu mensah,timothy fosu mensah
tino livramento,NA
toby alderweireld,toby alderweireld
todd cantwell,todd cantwell
tom cairney,tom cairney
tom cleverley,tom cleverley
tom davies,tom davies
tom lockyer,tom lockyer
tomas soucek,tomas soucek
tommy doyle,tommy doyle
tony springett,tony springett
tosin adarabioyo,tosin adarabioyo
toti,toti
toti antonio gomes,NA
trent alexander arnold,trent alexander arnold
trevoh chalobah,trevoh chalobah
trezeguet,trezeguet
trincao,trincao
troy deeney,troy deeney
tyler adams,tyler adams
tyler morton,tyler morton
tyler onyango,tyler onyango
tyler roberts,tyler roberts
tyrell malacia,tyrell malacia
tyrese francois,tyrese francois
tyrick mitchell,tyrick mitchell
tyrone mings,tyrone mings
valentin barco,valentin barco
valentino livramento,valentino livramento
vicente guaita,vicente guaita
victor da silva,NA
victor kristiansen,victor kristiansen
victor lindelof,victor lindelof
vini de souza costa,NA
vinicius souza,vinicius souza
virgil van dijk,virgil van dijk
vitalii mykolenko,vitalii mykolenko
vitaly janelt,vitaly janelt
vitinha,vitinha
vitinho,vitinho
vladimir coufal,vladimir coufal
wataru endo,wataru endo
wayne hennessey,wayne hennessey
wes foderingham,wes foderingham
wes morgan,wes morgan
wesley,wesley
wesley fofana,wesley fofana
wesley moraes,NA
weston mckennie,weston mckennie
wilfred ndidi,wilfred ndidi
wilfried gnonto,wilfried gnonto
wilfried zaha,wilfried zaha
will hughes,will hughes
will norris,will norris
william fish,william fish
william osula,william osula
william saliba,william saliba
william smallbone,william smallbone
william troost ekong,william troost ekong
willian,willian
willian borges da silva,NA
willian jose,willian jose
willy boly,willy boly
willy caballero,willy caballero
willy kambwala,willy kambwala
wilson odobert,wilson odobert
wout faes,wout faes
wout weghorst,wout weghorst
xherdan shaqiri,xherdan shaqiri
yan valery,yan valery
yasin ayari,yasin ayari
yasser larouci,yasser larouci
yegor yarmoliuk,NA
yegor yarmolyuk,NA
yehor yarmolyuk,yehor yarmolyuk
yerry mina,yerry mina
yoane wissa,yoane wissa
youri tielemans,youri tielemans
youssef chermiti,youssef chermiti
youssef ramalho chermiti,NA
yves bissouma,yves bissouma
zack nelson,zack nelson
zack steffen,zack steffen
zanka,zanka
zeki amdouni,zeki amdouni
